year,month,user_account_id,user_lifetime,user_intake,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage,Churn
2013,6,13,1000,0,1,0.05,0,1,1,0,0,66,0,0,27,0,1.02,0,0.58,1,2,0,0,1,6,0,0,1,0,0,0,1,6,0,0,5,0,0,5,5,0,5,0,0,5,18,0,0,0,0,0,0,1276,4,12.01,75.27,0,63.43,0,210,1,84,0,0,0
2013,6,14,1000,0,25,28.31,3.45,1,0,0,0,1276,0,0,5,3.45,9.9,1.51,4.33,25,5,3.45,9.9,25,0,0,0,25,5,3.45,9.9,25,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,0,0,0,0,0,0,0,1276,0,0,13.38,11.18,2,11.18,0,0,0,0,0,0
2013,6,18,1005,0,8,15.62,1.97,1,0,0,0,1276,0,0,18,1.97,14.92,0.89,9.23,8,0,0,0,8,0,0,0,8,6,1.31,10.45,8,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,7,0,4,0,0,0,0,1276,0,0,30,0,0,10.45,0,0,0,0,0,0
2013,6,27,1013,0,11,5.62,0,1,0,0,0,1276,0,0,1,0,0,0,0,11,0,0,0,11,0,0,0,11,0,0,0,11,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,0,0,0,0,0,0,0,1276,0,0,0,0,0,0,0,0,0,0,0,1
2013,6,32,1032,0,2,5.86,0.15,1,0,0,1,17,1,6,22,0.15,2.58,0.15,1,2,0,0,0,2,4,0.15,1,2,0,0,0,2,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,5,0,0,0,0,0,0,1276,1,6,2.58,0,1,0,0,0,0,0,0,0
2013,6,35,1039,0,1,12.51,12.96,1,1,0,1,6,1,17,56,12.96,90.73,2.39,15.95,1,0,0,0,1,15,8.44,56.28,1,0,0,0,1,2,0,0,6,0,0,6,0,0,6,0,0,6,11,0,0,0,0,0,0,1276,3,29,356.65,0,215.83,0,4,1,1,0,0,0
2013,6,36,1040,0,1,16.73,2.34,1,1,0,1,4,1,12,8,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,41,2.34,0.06,1,0,0,1,39,2.34,1,0,0,1,4,0,0,0,0,0,0,1276,1,12,0,0,0,0,112,0,109,0,0,0
2013,6,47,521,0,1,0.66,45.89,1,1,0,1,2,11,48,395,32.93,253.33,2.3,15.35,1,0,0,0,1,129,25.89,172.6,1,0,0,0,1,246,12.96,0.06,1,0,0,1,215,12.72,1,0,0,1,107,0,0,0,0,0,0,1276,35,158,735.87,0,473.5,0,1123,0,1006,0,0,0
2013,6,52,824,0,2,4.49,1.37,1,1,0,1,27,1,12.02,20,1.37,10.77,0.4,2.68,4,0,0,0,4,14,1.22,8.1,4,0,0,0,4,36,0,0,2,0,0,2,0,0,2,0,0,2,10,6,0,0,0,0,0,57,6,30.03,56.22,0,48.02,0,122,1,1,0,2.77,0
2013,6,59,867,0,2,90.93,17.99,1,1,0,1,12,1,72.06,88,17.99,121.53,4.09,27.27,2,0,0,0,2,14,17.99,119.95,2,0,0,0,2,16,0,0,4,0,0,4,16,0,4,0,0,4,3,0,0,0,0,0,0,1276,7,108.06,587.85,0,585.55,0,19,0,19,0,0,0
